Nível;Indicador;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;Unidade
1;Veículo;190886;204162;214983;226075;238345;250081;259625;266627;269620;271390;271412;272395;275300;277484;278459;279003;281536;284562;289683;veículos
1.1;Tipo;;;;;;;;;;;;;;;;;;;;
1.1.1;Automóvel;117747;122796;126476;131839;136599;140313;143746;145704;145564;145161;143594;143113;143702;143372;142348;140162;139221;139362;139390;veículos
1.1.2;Bonde;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;veículos
1.1.3;Caminhão;4245;4488;4749;4996;5236;5627;5793;5898;5834;5678;5632;5482;5420;5352;5270;5178;5204;5197;5147;veículos
1.1.4;Caminhão trator;2334;2695;3100;3358;3911;4445;4913;5348;5472;5398;5193;5124;5268;5405;5376;5544;5703;5579;5828;veículos
1.1.5;Caminhonete;5106;6143;8159;8678;9436;10264;10701;11008;11278;11360;11504;11536;11601;11919;12127;12333;12618;12905;13285;veículos
1.1.6;Camioneta;7687;7642;6753;7581;8745;10202;11314;12401;13000;13234;13701;14012;14635;14692;14651;14705;15195;15581;15831;veículos
1.1.7;Chassi plataforma;2;2;7;7;7;7;6;6;6;6;6;6;3;2;1;1;1;1;1;veículos
1.1.8;Ciclomotor;175;175;176;179;179;180;183;188;191;447;621;676;714;712;722;725;750;780;815;veículos
1.1.9;Micro-ônibus;639;676;720;756;787;850;860;885;969;986;992;952;936;935;942;902;869;882;892;veículos
1.1.10;Motocicleta;31181;34939;37738;39942;42266;44455;46084;47081;47817;48673;49169;49562;50113;50792;51416;51729;52274;53007;54118;veículos
1.1.11;Motoneta;12943;15049;16445;17531;18804;20095;21237;22211;22856;23457;23761;24385;24942;25667;26285;27343;28366;29403;30717;veículos
1.1.12;Ônibus;606;607;684;617;701;673;652;675;696;715;748;675;693;650;659;809;915;892;1006;veículos
1.1.13;Quadriciclo;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;veículos
1.1.14;Reboque;1627;1725;1812;1881;1939;1988;2040;2093;2125;2174;2235;2299;2389;2488;2576;2699;2792;2912;3057;veículos
1.1.15;Semi-reboque;5506;5882;6439;6674;7355;8083;8788;9334;9630;9622;9557;9587;9581;9743;9910;10127;10387;10325;10658;veículos
1.1.16;Sidecar;17;18;18;18;18;16;17;17;17;17;17;17;17;17;17;17;17;17;17;veículos
1.1.17;Trator de esteira;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;veículos
1.1.18;Trator de rodas;751;771;800;816;838;877;884;883;887;881;901;894;904;915;927;932;941;952;975;veículos
1.1.19;Triciclo;2;3;5;13;16;18;36;40;39;41;38;43;41;51;63;67;69;72;66;veículos
1.1.20;Utilitário;309;542;891;1176;1493;1972;2356;2838;3223;3521;3724;4010;4322;4745;5140;5695;6173;6646;7822;veículos
1.1.21;Outros;5;5;7;9;11;12;11;13;12;15;15;18;15;23;26;32;38;46;55;veículos



Fonte: Ministério dos Transportes, SENATRAN - Secretaria Nacional de Trânsito - 2024
